0.003,2998,19952
0.01,5998,43904
0.01,8998,69808
0.011,11998,95808
0.015,14998,123616
0.018,17998,151616
0.022,20998,179616
0.024,23998,207616
0.027,26998,237232
0.029,29998,267232
0.033,32998,297232
0.037,35998,327232
0.039,38998,357232
0.043,41998,387232
0.045,44998,417232
0.048,47998,447232
0.051,50998,478464
0.061,53998,510464
0.058,56998,542464
0.061,59998,574464
