0.951,999000,499486
3.787,3.998e+06,1.99895e+06
8.592,8.997e+06,4.49835e+06
15.12,1.5996e+07,7.99776e+06
23.676,2.4995e+07,1.24971e+07
33.857,3.5994e+07,1.79965e+07
46.7,4.8993e+07,2.44958e+07
60.226,6.3992e+07,3.19951e+07
76.144,8.0991e+07,4.04943e+07
94.568,9.999e+07,4.99935e+07
113.945,1.20989e+08,6.04926e+07
137.765,1.43988e+08,7.19918e+07
159.281,1.68987e+08,8.44909e+07
184.401,1.95986e+08,9.79899e+07
212.167,2.24985e+08,1.12489e+08
241.494,2.55984e+08,1.27988e+08
272.672,2.88983e+08,1.44487e+08
306.032,3.23982e+08,1.61986e+08
341.393,3.60981e+08,1.80485e+08
377.319,3.9998e+08,1.99984e+08
